Estimator,Model,Auxiliary Data,Reference
Horvitz-Thompson,no model,none,Horvitz and Thompson (1952)
Post-Stratified,group mean,categorical,Cochran (1977)
Ratio,simple linear regression through the origin,single quantitative,Cochran (1977)
Regression ,linear or logistic,quantitative and categorical,"Cassel, Sarndal and Wretman (1976); Lehtonen and Veijanen (1998)"
Elastic Net,linear or logistic,quantitative and categorical,McConville et. al. (2017)
